tieng_viet,tieng_tay
tính cách,chứng
khó tính,khỏ tỉnh
lắm điều,pác lai
giận,rính
tức,phát
lười,chạn
nhác,mjạt
nén giận,chjẳn rính
nguôi giận,rính lồng
ki bo,khắt khi
kiệt xỉ,khắt khi
phóng khoáng,cò loải
nóng giận,rính phjôm
nóng nảy,rính khỉ
xấu xa,mốc khuân
lắm miệng,pác ác
lắm mồm,pác ác
nhanh giận,rính cấn
tháo vát,rjảo roạc
gan dạ,cường lai
dũng cảm,cường lai
gan lì,tài tảm
đẹp,đây
xinh đẹp,nguộc
ngọc ngà,nguộc
dại,vả
khôn,quai
ngớ ngẩn,âứ
tin người,slứn
tin tưởng,slứn
bị lừa,tốc vả
mắc lừa,tốc vả
sống lỏi,quai lình
khôn lỏi,quai lình
hay giận,mốc kho
hay dỗi,mốc kho
ấp úng,phjuối bấu oóc pjác
mau miệng,pác nẩư
hiền lành,mốc rjẩy đây
hài lòng,mốc phjôm
lo lắng,mốc rẩy khát
chán,ngản
chán chường,ngao ngản
ngao ngán,ngao ngản
tốt bụng,cò đây
ngoan,cò ón
dễ,ngai
dễ bảo,ngai khiển
dễ dãi,ngai
tính dễ dãi,chứng dai
mải mê,cổm
mưu kế,kí cáo
thủ đoạn,kí cáo
ngốc,nguông
thằng ngốc,hò cần ngốc
không minh mẫn,nguông
kém minh mẫn,nguông
chậm chạp,ngum ngoan
quá đáng,quá mạ
quá mức,quá mạ
láo,quàng
láo lếu,bạch ngạch
lếu láo,bạch ngạch
bậy,quàng
dữ,rại
nuông chiều,ù nì
tiếc sức,quai lèng
né tránh,quai lèng
lanh lợi,quai lít
mưu kế,quai kí
kháu khỉnh,quai loáng
qua loa,xáo
không cẩn thận,xáo
siêng năng,xắc xăn
cần cù,xắc xăn
chăm chỉ,xắc xăn
chăm làm,xắc xăn hết fiệc
cố gắng,xéng xẻ
khó coi,rại ngòi
chướng mắt,rại ngòi
vâng lời,cạ tinh
bảo ban,cạ cứ
nỗ lực,lồng lèng
ra sức,lồng lèng
tận tâm,lồng slim
hết lòng,lồng slim
ưng thuận,lồng luộng
hòa thuận,lồng luộng
không hòa thuận,ngống ngáng
lật đật,lù loài
vội vàng,pằn lằn
hối hả,pằn lằn
bừa phứa,lù lòa
cẩu thả,lúc loác
lảng tránh,lút lú
nhanh miệng,pác nẩư
hay giúp người,riềng xiển
giúp người,riềng xiển
tham lam,tham cò
hấp tấp,vộp vạp
dở hơi,bả mướng
dại dột,bả slâư
chì chiết,bắc bắm
thành người,pền cần
cặn kẽ,chặc chạy
thật lòng,chăn slim
nông nổi,châư fù
thiếu chín chắn,châư fù
tình nghĩa,nhên ngại
nhùng nhằng,nhì nhằng
lí nhí,nhí nhí
vất vả,nhục
nhọc nhằn,nhục nhằn
quen mùi,quén slân
quen thói,quén slân
vòng vèo,queng qué
uể oải,chạn mjạt
nhát,lan
nhút cát,lan
mạnh dạn,mì nả
mạnh bạo,mì nả
vững tâm,mắn slim
yên tâm,mắn slim
vững lòng,mắn slim
nhàn nhã,huốt
ăn gian,chin lặm đăm
mâu thuẫn,khắc nghè
kình địch,khắc nghè
mưu mẹo,kí màu
mưu trí,kí màu
hiếu thắng,khửn nả
quen tay,hửn mừ
thạo,hửn mừ
thông thạo,hửn mừ
thành thạo,hửn mừ
chịu đựng,tảy nai
chịu khó,tảy nai
kiên trì,tảy nai
chết tiệt,thai đắp
tỉ mỉ,thí tháy
hiểu biết,thông rụ
nhanh chóng,pằn lằn
bày đặt,hắc khoan ốc mả
lôi thôi,dầư dầư
lếch thếch,dầư dầư
dẫn đầu,tải tầu
thả sức,tải tửn
lợi dụng,poóc xó
rộng lượng,mốc quảng
dễ tính,mốc quảng
trơ trẽn,mộc mjạn
ăn trơ trẽn,mộc mjạn kin
mặt dày,nả na
bạo dạn,nả na
hiền hậu,nả rương
ở lì,ná dú
ít nói,pác nắc
chậm mồm,pác nắc
chậm miệng,pác nắc
kì kèo,ngắm slằn
bướng bỉnh,ngheng
ngang bướng,ngheng
dối,pjàng
dối trá,pjàng mjặp
dối lòng,pjàng slim
lia lịa,pjạp pjạp
thông minh,rung roàng
sáng sủa,rung roàng
