tieng_viet,tieng_tay
con,tua
con vật,tua cúa
động vật,tua cúa
côn trùng,mật rày
chó,ma
chó con,ma eng
chó săn,ma thấu
mèo con,mèo eng
lợn,mu
lợn con,mu eng
heo,mu
heo con,mu eng
gà,cáy
gà con,cáy en
trâu,vài
trâu cái,me vài
trâu đực,po vài
nghé,vài eng
cá,pja
vịt,pết
rắn,ngù
gà trống,cáy reng
gà mái,cáy mẻ
mái tơ,khướng
con bò,tua mò
bò đực,mò sleng
con bê,tua mò eng
heo đực,mu tậc
heo nái,mu mẻ
ngỗng,hán
ngan,nhạn
chim,nộc
chim bìm bịp,nộc cút
chim sẻ,nộc choóc
chim ri,mộc phjay
chim công,nộc quáng quả
chim họa mi,nộc hoa mì
chim gõ kiến,nộc toóc khon
bồ câu,nộc cu
chào mào,mảo
cá cờ,pja cài
cá lóc,pja lẳn
cá trê,pja đúc
cá chép,pja nầy
cá trạch,pja sát
cá giếc,pja khao
cá bống,pja bú
lươn,chít
tôm,củng
cua,pu
tép,ngiều
ba ba,phja
con ốc,tua hoi
ốc sên,hoi ngửa
rùa,tấu
đỉa,ping
con vắt,tua tảc
con nhái,tua khuyết
ếch,cốp
éch nhái,cốp khuyết
cào cào,thắc
châu chấu,luồm
con cóc,tua pạng pú
chuồn chuồn,pị
muỗi,nhùng
muỗi vằn,mèng nhùng
ruồi,mèng
bướm,pa pỉ
kiến,mật
kiến vống,mật phạ
kiến kim,mật khêm
kiến ngạt,mật rày
ong,mèng
ong mật,mèng thương
ong vò vẽ,tó
ong đất,tó xum
nhện,xúng xao
bọ chó,mắt ma
bọ xít,mèng kèng
giun đất,mềng đươn
giun,đươn
chuột,nu
chuột chù,cà rìa
khỉ,lình
dê,bẻ
quạ,ca
ngựa,mạ
gián,sláp
nòng nọc,ruộc
nòng nọc cóc,cáy cạc
nai,quang
con báo,tua slang
đom đóm,hinh hỏi
chèo bẻo,xéc ca
bắp cày,cap thây
vượn,căng
rồng,luồng
voi,chạng
chim khuyên,queng quý
muôm muỗm,luôm
con lừa,tua lừ
đười ươi,báo đông
con cừu,mèn dàng
thằn lằn,mò pì
con vẹt,nộc mọ
con chim,nộc mọ
bướm ong,mẩt mèng
ong bướm,mẩt mèng
