tieng_viet,tieng_tay
0,lình
1,nưng
một,đều
2,soong
đôi,soong
cặp đôi,pẻng tài
3,sam
4,sli
5,hả
6,hốc
7,chẹt
8,phẹt
9,cẩu
10,slíp
chục,slíp
11,slíp ất
11,slíp nhỉ
20,nhỉ slíp
100,pác
trăm,pác
1000,xiên
nghìn,xiên
2000,nhỉ xiên
vạn,pac
triệu,tiệu
nửa,puốn
rưỡi,puốn
ngày,vằn
ngày mai,vằn pjục
ngày kia,vằn lừ
ngày kìa,vằn lương
hôm nay,vằn ngòa
hôm sau,vằn lăng
sau này,pjục lừ
mai sau,pjục lừ
mai này,pjục lừ
hôm kia,vằn dìn
hôm kìa,vằn mụn
mấy ngày,kỉ vằn
ngày lành,vằn đây
ngày tốt,vằn đây
ngày tất niên,vằn đắp
tất niên,vằn đắp
tháng,bươn
tháng chạp,bươn lạp
tháng giêng,bươn chiêng
tháng hai,bươn nhi
tháng mười một,bươn ất
năm,pi
cả năm,khuôp
đầy năm,khuôp
một đồng,mưn nưng
một cái,ăn nưng
một ít,ỉnh nưng
lạng,giàng
yến,nạo
quý,quỉ
quý báu,quỉ pèng
mã lực,rèng mạ
khuôn,khon
thước,xích
mét,xích
hết,puộn
suốt,puộn
tam giác,sam coóc
dạo này,pưa nảy
thuở trước,pưa cón
đã từng,tò pày
ngày xưa,pưa đía
lúc đầu,pưa đú
ban đầu,pưa đú
mở đầu,pưa đú
vừa qua,pưa ngòa
buổi,pưa
trưa,ngài
chiều,pài
tối,đăm
tối nay,đăm nẩy
tối hôm nay,đăm nẩy
tối qua,đăm ngòa
tối hôm qua,đăm ngòa
tối hôm kia,đăm mụn
tối hôm kìa,đăm lương
tối mai,đăm pjục
nửa đêm,chang cừn
giữa đêm,chang cừn
ban đêm,tằng căm
màn đêm,tằng căm
ngoái,quá
ngày trước,pưa cón
trước kia,pưa cón
một hôm,pưa cón
một ngày nọ,pưa cón
một trận,tón nưng
đời xưa,tơi ké
cổ tích,tơi ké
giữa,chang
giữa sáng,chang nâư
giữa buổi sáng,chang nâư
giữa chiều,chang vằn
giữa buổi chiều,chang vằn
giữa ban chiều,chang vằn
sớm,chạu
sáng sớm,nâư chạu
sớm tinh mơ,chạu chít
thời gian,fiểc
thời giờ,fiểc
ngày đêm,cừn vằn
suốt ngày đêm,quá cừn vằn
mãi,khẳn khẳn
mãi mãi,khẳn khẳn
hằng ngày,ăn vằn
hàng ngày,ăn vằn
mỗi ngày,ăn vằn
mọi ngày,ăn vằn
lần trước,pày cón
lần đầu,pày đú
lần đầu tiên,pày đú
đầu tiên,pày đú
duy nhất,pày đú
lần sau,pày lăng
đến mai,thâng vằn pjục
