tieng_viet,tieng_tay
1,nừng
một,đều
2,soong
đôi,soong
3,sam
4,sli
5,hả
6,hốc
7,chẹt
8,phẹt
9,cẩu
10,slíp
11,slíp ất
20,nhỉ slíp
trăm,pác
100,pác nưng
nghìn,xiên
1000,xiên nưng
2000,soong xiên
triệu,tiệu
nửa,puốn
rưỡi,puốn
ngày,vằn
ngày mai,vằn pjục
ngày kia,vằn lừ
ngày kìa,vằn lương
hôm nay,vằn ngòa
hôm sau,vằn lăng
sau này,vằn lăng
mai sau,vằn lăng
hôm kia,vằn dìn
hôm kìa,vằn mụn
mấy ngày,kỉ vằn
ngày lành,vằn đây
ngày tốt,vằn đây
ngày tất niên,vằn đắp
tháng,bươn
tháng chạp,bươn lạp
tháng giêng,bươn chiêng
tháng mười một,bươn ất
năm,pi
cả năm,khuôp
đầy năm,khuôp
một đồng,mưn nưng
một cái,ăn nưng
một ít,ỉnh nưng
lạng,giàng
quý,quỉ
quý báu,quỉ pèng
mã lực,rèng mạ
khuôn,khon
thước,xích
mét,xích
hết,puộn
suốt,puộn
tam giác,sam coóc
dạo này,pưa nảy
thuở trước,pưa cón
ngày xưa,pưa đía
lúc đầu,pưa đú
ban đầu,pưa đú
vừa qua,pưa ngòa
buổi chiều,pưa pài

